都市,年,月,日,平均湿度_%,最高湿度_%,最低湿度_%,観測時間数
ハワイ,2024,1,1,73.28394681687465,96.34196017527373,47.523510286184326,64
ハワイ,2024,1,2,70.3194873334978,83.98126219125285,54.5512362640319,65
ハワイ,2024,1,3,74.55661439369281,100.0,54.5512362640319,65
ハワイ,2024,1,4,80.3885323974975,100.0,56.242779279562995,64
ハワイ,2024,1,5,81.671717861833,100.0,66.58279061746988,64
ハワイ,2024,1,6,82.49043750594747,96.92958640223608,64.53842356058041,67
ハワイ,2024,1,7,86.1785312117459,97.01743435415038,64.53842356058041,85
ハワイ,2024,1,8,89.15485247117955,100.0,69.11089466763667,113
ハワイ,2024,1,9,85.45679485658916,100.0,59.739229067022684,95
ハワイ,2024,1,10,76.24503045789112,96.9041104143917,51.91083988501952,64
ハワイ,2024,2,1,79.05357438881856,96.38790496864459,51.91083988501952,71
ハワイ,2024,2,2,67.72785441947377,94.05695924265345,43.07569166474684,71
ハワイ,2024,2,3,54.75307386633928,67.5934964280168,43.07569166474684,64
ハワイ,2024,2,4,59.1125798815735,75.78318135610579,44.532209192896566,64
ハワイ,2024,2,5,59.69667831366538,75.78318135610579,44.999662888268986,64
ハワイ,2024,2,6,58.67021770788265,70.47009868536232,48.47997761540694,64
ハワイ,2024,2,7,60.10006113263296,75.95921473818542,45.43575614776927,64
ハワイ,2024,2,8,67.27587577057966,93.38386352969982,45.43575614776927,66
ハワイ,2024,2,9,76.42050085544561,93.43702684072652,45.43575614776927,66
ハワイ,2024,2,10,77.43995583388954,93.43702684072652,57.993775327158346,64
ハワイ,2024,3,1,63.856809699251606,75.95921473818542,46.79198249213552,63
ハワイ,2024,3,2,64.12062741858925,81.43524211974864,45.29987921468761,64
ハワイ,2024,3,3,68.14830498541615,93.46575859578415,45.29987921468761,66
ハワイ,2024,3,4,68.74069291170906,93.46575859578415,47.2296984734211,68
ハワイ,2024,3,5,65.65419942054439,78.56575831928144,50.10527282433236,66
ハワイ,2024,3,6,67.50789512675419,87.25510563115304,48.47997761540694,63
ハワイ,2024,3,7,68.04940711850139,87.25510563115304,48.47997761540694,63
ハワイ,2024,3,8,63.09736868095825,78.40682670797871,48.63947277315558,64
ハワイ,2024,3,9,62.725464449767685,71.01393530885929,48.63947277315558,64
ハワイ,2024,3,10,64.53335407789086,73.3021969593146,53.950761624531864,64
ハワイ,2024,4,1,64.77748169032662,84.10336829604624,47.523510286184326,51
ハワイ,2024,4,2,63.07442894150863,78.56575831928144,47.523510286184326,58
ハワイ,2024,4,3,63.60600118773819,78.56575831928144,48.9304172885286,64
ハワイ,2024,4,4,64.00517145010298,78.40682670797871,48.9304172885286,64
ハワイ,2024,4,5,66.95440340183968,84.0369327694218,48.9304172885286,64
ハワイ,2024,4,6,73.54082371251042,89.93964770804598,50.3941150957667,66
ハワイ,2024,4,7,68.57450655269174,89.93964770804598,46.027566776351584,66
ハワイ,2024,4,8,61.13686644332807,75.95921473818542,46.027566776351584,64
ハワイ,2024,4,9,63.56354717032163,80.85816533417108,47.2296984734211,64
ハワイ,2024,4,10,66.8844801514927,80.85816533417108,47.2296984734211,64
ハワイ,2024,5,1,64.89026297383494,81.71209061946468,49.21947306016981,55
ハワイ,2024,5,2,64.04826885286525,78.65174718267653,47.68299752012948,64
ハワイ,2024,5,3,64.65737951535954,78.65174718267653,47.523510286184326,64
ハワイ,2024,5,4,65.27001476729548,84.10336829604624,47.523510286184326,64
ハワイ,2024,5,5,65.7278253636786,84.10336829604624,48.9304172885286,64
ハワイ,2024,5,6,65.42937038042001,75.75088635074987,50.836664404334186,63
ハワイ,2024,5,7,66.2773714286555,81.00143889635405,50.836664404334186,60
ハワイ,2024,5,8,69.20219025009274,89.98307996383159,50.836664404334186,61
ハワイ,2024,5,9,74.77406250564904,96.96834745623838,52.19379535867821,65
ハワイ,2024,5,10,73.76663213839109,96.96834745623838,52.19379535867821,69
ハワイ,2024,6,1,61.541947537875195,73.61109930704323,47.523510286184326,66
ハワイ,2024,6,2,65.2480435413032,84.80028381115254,47.81548696352688,65
ハワイ,2024,6,3,68.07036354098858,84.80028381115254,49.21947306016981,63
ハワイ,2024,6,4,66.60841092601768,73.78055835142725,53.03075395196256,64
ハワイ,2024,6,5,67.11117465864318,84.22413060438662,53.21150645907979,64
ハワイ,2024,6,6,68.55563361132354,84.22413060438662,49.7919427311808,65
ハワイ,2024,6,7,67.89963717348031,84.15842570016267,46.48306698134792,66
ハワイ,2024,6,8,64.06328474467603,81.71209061946468,46.48306698134792,65
ハワイ,2024,6,9,60.69652235329166,71.08163614402663,46.48306698134792,64
ハワイ,2024,6,10,60.89772376223062,71.41681397166568,47.81548696352688,64
ハワイ,2024,7,1,61.9162381583545,81.57441395380081,41.714318837619444,64
ハワイ,2024,7,2,63.76069843678758,87.45150973045378,46.3500358760897,64
ハワイ,2024,7,3,65.87312477447026,87.45150973045378,44.62636981543218,63
ハワイ,2024,7,4,66.92318336837798,93.51795151154963,44.62636981543218,63
ハワイ,2024,7,5,62.99417894430957,93.51795151154963,44.74801541490129,65
ハワイ,2024,7,6,60.079524479324704,78.72302980298822,43.07007732981703,65
ハワイ,2024,7,7,60.76335919143655,78.72302980298822,43.07007732981703,64
ハワイ,2024,7,8,62.48138022961918,84.91552171879306,44.58584938202087,64
ハワイ,2024,7,9,63.794651464844385,84.91552171879306,46.189917869152794,64
ハワイ,2024,7,10,62.56949340277633,81.78656404655294,47.97397501081358,65
ハワイ,2024,8,1,61.72203334828664,81.14317836484868,41.61213718423376,63
ハワイ,2024,8,2,70.40860848664917,93.56952891936461,43.23327636279843,68
ハワイ,2024,8,3,71.49944159634691,93.56952891936461,48.11969774813592,69
ハワイ,2024,8,4,64.92259376399608,81.71209061946468,48.11969774813592,64
ハワイ,2024,8,5,63.27390846531593,81.84829237793902,43.36890528432109,64
ハワイ,2024,8,6,61.506611037555246,81.84829237793902,43.36890528432109,64
ハワイ,2024,8,7,61.004589538607334,71.1909432397893,45.04400255160104,64
ハワイ,2024,8,8,61.085780812818754,76.47661091785119,45.04400255160104,64
ハワイ,2024,8,9,60.741634694460984,76.47661091785119,45.04400255160104,64
ハワイ,2024,8,10,63.91818198036947,84.91552171879306,45.04400255160104,63
ハワイ,2024,9,1,66.67801256559169,87.124124104629,51.83443823441246,64
ハワイ,2024,9,2,63.82028593857787,74.06516569774526,46.64222400527425,64
ハワイ,2024,9,3,63.44392467000184,73.78055835142725,44.62636981543218,64
ハワイ,2024,9,4,62.872163556270124,78.72302980298822,39.081456488003354,65
ハワイ,2024,9,5,61.56088489962634,78.80812224295497,39.081456488003354,61
ハワイ,2024,9,8,62.42142796065534,78.80812224295497,45.04400255160104,64
ハワイ,2024,9,9,66.70825011726892,81.14317836484868,45.04400255160104,64
ハワイ,2024,9,10,68.93458845454822,81.14317836484868,49.7919427311808,64
ハワイ,2024,10,1,68.84327930675286,97.01743435415038,46.64222400527425,67
ハワイ,2024,10,2,66.89818139671021,97.01743435415038,46.64222400527425,64
ハワイ,2024,10,3,63.88280659816141,81.71209061946468,46.189917869152794,64
ハワイ,2024,10,4,66.87736203244785,87.45150973045378,43.23327636279843,64
ハワイ,2024,10,5,67.56726442776315,87.45150973045378,43.23327636279843,64
ハワイ,2024,10,6,63.0056310525662,81.78656404655294,45.04400255160104,64
ハワイ,2024,10,7,60.33719344476429,73.78055835142725,40.30227168448088,65
ハワイ,2024,10,8,60.1702262555083,73.78055835142725,40.30227168448088,65
ハワイ,2024,10,9,61.59488463414933,76.56899047025414,40.30227168448088,64
ハワイ,2024,10,10,64.81095843518186,79.36693654003778,44.92194943315832,64
ハワイ,2024,11,1,66.06758273076787,81.57441395380081,49.50664611197828,64
ハワイ,2024,11,2,65.33085254679283,81.57441395380081,49.50664611197828,64
ハワイ,2024,11,3,65.77627914999167,78.80812224295497,49.50664611197828,63
ハワイ,2024,11,4,74.99698551229089,100.0,49.50664611197828,65
ハワイ,2024,11,5,80.30140019999112,100.0,58.65460213736101,66
ハワイ,2024,11,6,79.07606018907522,94.05695924265345,58.65460213736101,70
ハワイ,2024,11,7,82.69441769224531,96.96834745623838,60.24639566176136,70
ハワイ,2024,11,8,79.46871267051411,96.96834745623838,56.508993432141594,64
ハワイ,2024,11,9,70.78643795352627,87.40726280350745,51.12054490598964,64
ハワイ,2024,11,10,66.48595414137053,81.78656404655294,51.12054490598964,64
ハワイ,2024,12,1,70.9240320007504,89.98307996383159,49.21947306016981,52
ハワイ,2024,12,2,73.64899328650176,89.98307996383159,55.974525015020596,56
ハワイ,2024,12,3,76.33619412581413,90.65528095569677,56.242779279562995,58
ハワイ,2024,12,4,74.99943240613457,90.65528095569677,58.39658213719999,68
ハワイ,2024,12,5,75.06703753522065,90.65528095569677,58.39658213719999,67
ハワイ,2024,12,6,76.76348175060403,90.65528095569677,60.24639566176136,65
ハワイ,2024,12,7,74.69171598395057,89.93964770804598,58.254978543013834,64
ハワイ,2024,12,8,68.2370163084319,84.15842570016267,46.32283940785793,64
ハワイ,2024,12,9,62.55429901194296,78.96287033746714,46.32283940785793,63
ハワイ,2024,12,10,61.518084106501306,78.96287033746714,44.4503235114586,63
ロサンゼルス,2024,1,1,69.31714752865572,89.94654196028144,38.32382635134739,64
ロサンゼルス,2024,1,2,77.18109990866898,100.0,49.846503607229735,73
ロサンゼルス,2024,1,3,67.73826095121446,100.0,33.919207351655615,73
ロサンゼルス,2024,1,4,48.95265635074181,69.85507315567851,33.919207351655615,64
ロサンゼルス,2024,1,5,59.66215511474579,86.30327743847585,33.919207351655615,64
ロサンゼルス,2024,1,6,63.09354880799233,86.47225145629146,27.82106149487819,68
ロサンゼルス,2024,1,7,46.11189654639167,86.47225145629146,18.347373415766103,68
ロサンゼルス,2024,1,8,37.43368850081413,57.630245454385566,18.347373415766103,64
ロサンゼルス,2024,1,9,53.28176282574906,77.14099217957384,21.916863080230804,65
ロサンゼルス,2024,1,10,59.86706508406442,83.00241464457581,16.70673184465519,65
ロサンゼルス,2024,2,1,85.02328681305133,100.0,66.88015040627373,90
ロサンゼルス,2024,2,2,77.31136780582108,89.26151927981826,63.97150799046077,69
ロサンゼルス,2024,2,3,78.37463713406598,96.13738290736718,63.97150799046077,73
ロサンゼルス,2024,2,4,91.29899381774662,100.0,66.5193835160536,102
ロサンゼルス,2024,2,5,97.21045252309827,100.0,85.7844551650817,104
ロサンゼルス,2024,2,6,92.32963241987112,100.0,63.97150799046077,82
ロサンゼルス,2024,2,7,80.91981545824606,100.0,59.57621241420325,77
ロサンゼルス,2024,2,8,75.38058496203145,96.68587106156139,55.393650387370855,76
ロサンゼルス,2024,2,9,63.696340946948396,96.68587106156139,29.836212028595373,70
ロサンゼルス,2024,2,10,49.336178512788564,67.4547605883971,28.413207724220307,64
ロサンゼルス,2024,3,1,81.73258878158464,96.78424058447497,67.11079350719406,85
ロサンゼルス,2024,3,2,84.4491766231064,96.78424058447497,59.724335344249994,84
ロサンゼルス,2024,3,3,77.75752003117277,96.07146693216029,57.84433466039314,69
ロサンゼルス,2024,3,4,73.66372342132553,86.0800021200465,57.84433466039314,65
ロサンゼルス,2024,3,5,77.13639100658321,90.02830457837466,64.21790411543013,66
ロサンゼルス,2024,3,6,82.63487566138328,96.72929424668638,64.46206402971161,76
ロサンゼルス,2024,3,7,81.00068348035802,96.72929424668638,52.77258552324431,82
ロサンゼルス,2024,3,8,76.5955500131802,92.86987212378438,50.14384102772763,71
ロサンゼルス,2024,3,9,77.25553075565132,92.86987212378438,50.14384102772763,65
ロサンゼルス,2024,3,10,79.7141764050317,92.92925193591732,57.84433466039314,68
ロサンゼルス,2024,4,1,70.61769950077179,89.17307313199454,55.80261731445494,54
ロサンゼルス,2024,4,2,75.21633084085495,89.39613602034909,56.23204322397234,60
ロサンゼルス,2024,4,3,78.25260226230579,89.39613602034909,56.23204322397234,70
ロサンゼルス,2024,4,4,73.37941398334948,89.39613602034909,52.69861577449868,73
ロサンゼルス,2024,4,5,62.72451870001008,86.0800021200465,43.709075093804586,69
ロサンゼルス,2024,4,6,59.765110658944714,76.52617676246976,43.709075093804586,65
ロサンゼルス,2024,4,7,67.48342189209349,89.64857337002037,45.261001367661756,65
ロサンゼルス,2024,4,8,59.81279937037674,89.64857337002037,17.80951999979247,66
ロサンゼルス,2024,4,9,50.38362119577626,76.97775130100307,17.80951999979247,65
ロサンゼルス,2024,4,10,74.7860261382159,100.0,31.432368174330115,82
ロサンゼルス,2024,5,1,78.3207829739439,93.69330286066344,63.075591279012365,62
ロサンゼルス,2024,5,2,78.48550912975833,89.48192427937025,65.07362057366343,70
ロサンゼルス,2024,5,3,78.49089575961811,87.73959760472425,65.07362057366343,75
ロサンゼルス,2024,5,4,78.6615467464878,100.0,50.323747669752905,79
ロサンゼルス,2024,5,5,68.95719149586608,100.0,28.413207724220307,72
ロサンゼルス,2024,5,6,65.16744583602772,86.47225145629146,28.413207724220307,63
ロサンゼルス,2024,5,7,73.73231612992144,89.48192427937025,53.93731103771378,62
ロサンゼルス,2024,5,8,74.69600142879663,89.48192427937025,58.7975104529612,67
ロサンゼルス,2024,5,9,77.11744126863057,86.68644735462088,58.7975104529612,77
ロサンゼルス,2024,5,10,81.42638110334606,93.64553807565812,70.28025539942158,81
ロサンゼルス,2024,6,1,80.14731553809635,93.69330286066344,63.20981411455473,83
ロサンゼルス,2024,6,2,79.2493188346418,93.10306339626942,63.20981411455473,78
ロサンゼルス,2024,6,3,79.54875762103516,93.10306339626942,65.31002747227645,75
ロサンゼルス,2024,6,4,80.60209670649948,89.6957473550907,65.4380742342391,77
ロサンゼルス,2024,6,5,84.20934156151331,93.22048911185543,70.14809726969024,75
ロサンゼルス,2024,6,6,87.10558717665407,100.0,70.14809726969024,83
ロサンゼルス,2024,6,7,85.39106347898063,100.0,67.5934964280168,85
ロサンゼルス,2024,6,8,81.67726007126569,93.19014346226949,65.4380742342391,82
ロサンゼルス,2024,6,9,80.17094921137561,89.65046931455898,65.4380742342391,77
ロサンゼルス,2024,6,10,82.50067486049883,93.10306339626942,65.4380742342391,70
ロサンゼルス,2024,7,1,81.43046401065823,96.21891947752455,65.9021927187183,86
ロサンゼルス,2024,7,2,83.54801608719447,100.0,65.9021927187183,85
ロサンゼルス,2024,7,3,86.12493581093098,100.0,70.47009868536232,83
ロサンゼルス,2024,7,4,83.68427754979862,93.83344565323438,68.35109125819857,77
ロサンゼルス,2024,7,5,81.74810548396648,93.83344565323438,62.158095191951155,74
ロサンゼルス,2024,7,6,79.9720295061653,93.35459600823972,62.158095191951155,70
ロサンゼルス,2024,7,7,83.84750202412178,100.0,64.06671191250457,82
ロサンゼルス,2024,7,8,86.06186075758868,100.0,70.67590907173347,94
ロサンゼルス,2024,7,9,84.93255313224287,93.83344565323438,68.56795368786803,86
ロサンゼルス,2024,7,10,83.3940949866716,93.83344565323438,66.6533550688544,78
ロサンゼルス,2024,8,1,83.76315190110286,96.85220325513785,63.936616558828206,77
ロサンゼルス,2024,8,2,79.86159763061639,93.27560496042877,61.92402182401442,68
ロサンゼルス,2024,8,3,80.24827112227375,100.0,61.92402182401442,71
ロサンゼルス,2024,8,4,79.20569520327223,100.0,59.582624696093156,72
ロサンゼルス,2024,8,5,74.63626641726722,89.77800426191246,59.582624696093156,66
ロサンゼルス,2024,8,6,77.33168249681661,100.0,56.451468729202325,71
ロサンゼルス,2024,8,7,80.65482368196668,100.0,56.451468729202325,75
ロサンゼルス,2024,8,8,82.75294332716867,96.8783177784898,64.30360464401954,78
ロサンゼルス,2024,8,9,82.7937377483796,96.8783177784898,62.04662001229882,80
ロサンゼルス,2024,8,10,79.51754878035526,93.27560496042877,62.04662001229882,72
ロサンゼルス,2024,9,1,81.39787546740159,90.46444079273392,68.7827944385684,74
ロサンゼルス,2024,9,2,83.57408298748562,96.92958640223608,70.87974751063993,85
ロサンゼルス,2024,9,3,81.91623578948956,96.92958640223608,52.374434642802335,80
ロサンゼルス,2024,9,4,70.68561287174136,93.35459600823972,51.24894134865138,65
ロサンゼルス,2024,9,5,63.153622184743824,76.30590719134554,23.519096437558794,64
ロサンゼルス,2024,9,6,62.684480184566866,78.80812224295497,23.519096437558794,64
ロサンゼルス,2024,9,7,63.63559183372532,94.05695924265345,36.723023306402844,64
ロサンゼルス,2024,9,8,60.76797828032744,94.05695924265345,36.723023306402844,64
ロサンゼルス,2024,9,9,59.391051283252764,78.56575831928144,39.66660671739356,64
ロサンゼルス,2024,9,10,68.80466480626741,88.0900268390337,39.66660671739356,66
ロサンゼルス,2024,10,1,88.68624598705765,100.0,73.02336624476067,91
ロサンゼルス,2024,10,2,89.91354253275911,100.0,66.42748006794051,94
ロサンゼルス,2024,10,3,88.07866645826365,100.0,54.50156493319034,94
ロサンゼルス,2024,10,4,87.87537063812748,96.28119800108568,54.50156493319034,93
ロサンゼルス,2024,10,5,91.31755977246104,100.0,75.95921473818542,103
ロサンゼルス,2024,10,6,92.02531290136811,100.0,75.39670114927087,113
ロサンゼルス,2024,10,7,91.8146482014963,100.0,72.91775824653783,114
ロサンゼルス,2024,10,8,89.1613341079029,100.0,72.91775824653783,98
ロサンゼルス,2024,10,9,84.75317910831521,96.8783177784898,70.2622939668241,82
ロサンゼルス,2024,10,10,86.99123144178971,100.0,70.14809726969024,86
ロサンゼルス,2024,11,1,76.36546359880295,89.94654196028144,50.026250325540836,74
ロサンゼルス,2024,11,2,72.36701351288787,96.78424058447497,22.60420899279851,76
ロサンゼルス,2024,11,3,53.800600035913135,96.78424058447497,19.896836540881537,67
ロサンゼルス,2024,11,4,49.48924815368718,90.31044167644579,19.896836540881537,63
ロサンゼルス,2024,11,5,62.423910852780295,96.85220325513785,6.788282431043877,67
ロサンゼルス,2024,11,6,42.44470963200143,96.85220325513785,6.788282431043877,67
ロサンゼルス,2024,11,7,26.430598342610647,66.55714776038613,6.972095985619334,64
ロサンゼルス,2024,11,8,44.053121934821824,79.6398618124222,13.125671466991436,64
ロサンゼルス,2024,11,9,58.15546075434377,86.62852364578876,17.653637342536776,64
ロサンゼルス,2024,11,10,71.08358867522725,92.96133286105723,28.316881525153775,64
ロサンゼルス,2024,12,1,58.19438378719907,77.58649003750742,31.800349877987532,53
ロサンゼルス,2024,12,2,70.08547239728352,89.30931615930605,35.47093298070667,57
ロサンゼルス,2024,12,3,84.14411203747568,93.64553807565812,55.675317526714586,67
ロサンゼルス,2024,12,4,86.18411945738187,93.64553807565812,64.59430746190573,85
ロサンゼルス,2024,12,5,89.18724380090902,100.0,67.11079350719406,95
ロサンゼルス,2024,12,6,77.26344026257435,100.0,15.137249940062139,85
ロサンゼルス,2024,12,7,58.21961425227268,89.48192427937025,15.137249940062139,64
ロサンゼルス,2024,12,8,70.52265140839505,90.02830457837466,40.54205584668044,69
ロサンゼルス,2024,12,9,64.851489039091,90.02830457837466,5.750525820790365,67
ロサンゼルス,2024,12,10,31.369473077647406,83.6915118882693,5.750525820790365,62
