都道府県,年,月,日,日照時間_h
北海道,2024,1,1,1.3
北海道,2024,1,2,0.3
北海道,2024,1,3,0.0
北海道,2024,1,4,6.5
北海道,2024,1,5,1.2
北海道,2024,1,6,2.9
北海道,2024,1,7,0.6
北海道,2024,1,8,1.5
北海道,2024,1,9,0.0
北海道,2024,1,10,7.5
北海道,2024,2,1,5.3
北海道,2024,2,2,5.6
北海道,2024,2,3,2.6
北海道,2024,2,4,4.0
北海道,2024,2,5,9.1
北海道,2024,2,6,6.0
北海道,2024,2,7,2.0
北海道,2024,2,8,2.3
北海道,2024,2,9,3.9
北海道,2024,2,10,2.5
北海道,2024,3,1,0.4
北海道,2024,3,2,0.0
北海道,2024,3,3,4.1
北海道,2024,3,4,4.3
北海道,2024,3,5,6.1
北海道,2024,3,6,9.0
北海道,2024,3,7,4.8
北海道,2024,3,8,10.3
北海道,2024,3,9,6.7
北海道,2024,3,10,2.4
北海道,2024,4,1,6.0
北海道,2024,4,2,8.5
北海道,2024,4,3,11.2
北海道,2024,4,4,5.3
北海道,2024,4,5,8.1
北海道,2024,4,6,11.8
北海道,2024,4,7,11.9
北海道,2024,4,8,9.0
北海道,2024,4,9,0.0
北海道,2024,4,10,12.3
北海道,2024,5,1,11.3
北海道,2024,5,2,13.1
北海道,2024,5,3,12.8
北海道,2024,5,4,11.0
北海道,2024,5,5,7.7
北海道,2024,5,6,0.0
北海道,2024,5,7,0.0
北海道,2024,5,8,0.7
北海道,2024,5,9,10.9
北海道,2024,5,10,8.4
北海道,2024,6,1,12.6
北海道,2024,6,2,14.1
北海道,2024,6,3,5.9
北海道,2024,6,5,0.0
北海道,2024,6,6,0.0
北海道,2024,6,7,9.6
北海道,2024,6,8,12.9
北海道,2024,6,9,0.0
北海道,2024,6,10,8.2
北海道,2024,7,1,0.6
北海道,2024,7,2,10.6
北海道,2024,7,4,3.5
北海道,2024,7,5,7.0
北海道,2024,7,6,1.0
北海道,2024,7,7,1.0
北海道,2024,7,8,0.0
北海道,2024,7,9,2.8
北海道,2024,7,10,11.2
北海道,2024,8,1,2.1
北海道,2024,8,3,3.9
北海道,2024,8,4,0.0
北海道,2024,8,5,0.5
北海道,2024,8,6,3.9
北海道,2024,8,7,6.0
北海道,2024,8,8,4.2
北海道,2024,8,9,1.2
北海道,2024,8,10,9.2
北海道,2024,9,1,10.7
北海道,2024,9,2,2.4
北海道,2024,9,3,12.1
北海道,2024,9,4,11.5
北海道,2024,9,5,2.5
北海道,2024,9,6,9.1
北海道,2024,9,7,4.6
北海道,2024,9,8,11.8
北海道,2024,9,9,11.8
北海道,2024,9,10,8.8
北海道,2024,10,1,9.5
北海道,2024,10,2,0.6
北海道,2024,10,3,0.8
北海道,2024,10,4,0.0
北海道,2024,10,5,9.9
北海道,2024,10,6,7.2
北海道,2024,10,7,0.0
北海道,2024,10,8,5.6
北海道,2024,10,9,8.7
北海道,2024,10,10,8.8
北海道,2024,11,1,0.0
北海道,2024,11,2,0.3
北海道,2024,11,3,2.6
北海道,2024,11,4,0.0
北海道,2024,11,5,1.0
北海道,2024,11,6,4.2
北海道,2024,11,7,0.7
北海道,2024,11,8,4.2
北海道,2024,11,9,4.3
北海道,2024,11,10,5.9
北海道,2024,12,1,3.7
北海道,2024,12,2,5.1
北海道,2024,12,3,3.6
北海道,2024,12,4,2.9
北海道,2024,12,5,1.7
北海道,2024,12,7,2.2
北海道,2024,12,8,2.2
北海道,2024,12,9,0.6
北海道,2024,12,10,3.9
青森県,2024,1,1,0.7
青森県,2024,1,2,1.9
青森県,2024,1,3,1.8
青森県,2024,1,4,3.9
青森県,2024,1,5,1.8
青森県,2024,1,6,2.3
青森県,2024,1,7,1.9
青森県,2024,1,8,1.5
青森県,2024,1,9,0.9
青森県,2024,1,10,2.0
青森県,2024,2,1,0.0
青森県,2024,2,2,0.1
青森県,2024,2,3,1.2
青森県,2024,2,4,0.2
青森県,2024,2,5,1.7
青森県,2024,2,6,4.7
青森県,2024,2,7,1.2
青森県,2024,2,8,0.9
青森県,2024,2,10,3.2
青森県,2024,3,1,0.0
青森県,2024,3,2,2.5
青森県,2024,3,3,1.2
青森県,2024,3,4,1.1
青森県,2024,3,5,3.0
青森県,2024,3,6,1.5
青森県,2024,3,8,9.8
青森県,2024,3,9,2.6
青森県,2024,3,10,2.0
青森県,2024,4,1,7.8
青森県,2024,4,2,1.8
青森県,2024,4,4,8.7
青森県,2024,4,5,11.2
青森県,2024,4,6,11.9
青森県,2024,4,7,11.1
青森県,2024,4,8,10.7
青森県,2024,4,9,0.0
青森県,2024,4,10,12.4
青森県,2024,5,1,11.9
青森県,2024,5,2,13.4
青森県,2024,5,3,13.0
青森県,2024,5,4,12.8
青森県,2024,5,5,11.2
青森県,2024,5,6,0.0
青森県,2024,5,7,0.2
青森県,2024,5,8,0.1
青森県,2024,5,9,4.2
青森県,2024,5,10,8.9
青森県,2024,6,1,7.4
青森県,2024,6,2,2.4
青森県,2024,6,3,0.2
青森県,2024,6,4,9.8
青森県,2024,6,5,2.8
青森県,2024,6,7,14.0
青森県,2024,6,8,6.1
青森県,2024,6,9,0.3
青森県,2024,6,10,4.6
青森県,2024,7,1,3.9
青森県,2024,7,2,13.9
青森県,2024,7,3,4.4
青森県,2024,7,4,3.0
青森県,2024,7,5,3.7
青森県,2024,7,6,4.4
青森県,2024,7,7,0.0
青森県,2024,7,8,2.4
青森県,2024,7,9,2.3
青森県,2024,7,10,0.0
青森県,2024,8,1,2.7
青森県,2024,8,2,12.5
青森県,2024,8,3,10.5
青森県,2024,8,4,4.7
青森県,2024,8,5,0.0
青森県,2024,8,6,7.3
青森県,2024,8,7,8.6
青森県,2024,8,8,1.6
青森県,2024,8,9,7.9
青森県,2024,8,10,8.5
青森県,2024,9,1,11.2
青森県,2024,9,2,1.9
青森県,2024,9,3,11.3
青森県,2024,9,4,12.4
青森県,2024,9,5,10.3
青森県,2024,9,6,8.0
青森県,2024,9,7,12.1
青森県,2024,9,8,9.1
青森県,2024,9,9,12.1
青森県,2024,9,10,10.3
青森県,2024,10,1,9.9
青森県,2024,10,2,0.8
青森県,2024,10,3,0.0
青森県,2024,10,4,0.0
青森県,2024,10,5,9.7
青森県,2024,10,6,6.9
青森県,2024,10,7,0.0
青森県,2024,10,8,3.3
青森県,2024,10,9,2.4
青森県,2024,10,10,2.4
青森県,2024,11,1,1.1
青森県,2024,11,2,0.0
青森県,2024,11,3,3.8
青森県,2024,11,4,7.4
青森県,2024,11,5,3.6
青森県,2024,11,6,4.2
青森県,2024,11,7,0.0
青森県,2024,11,8,0.3
青森県,2024,11,9,6.4
青森県,2024,11,10,7.9
青森県,2024,12,1,1.1
青森県,2024,12,2,7.6
青森県,2024,12,3,0.0
青森県,2024,12,4,1.5
青森県,2024,12,5,0.6
青森県,2024,12,6,0.0
青森県,2024,12,7,1.3
青森県,2024,12,8,1.8
青森県,2024,12,9,0.2
青森県,2024,12,10,1.5
岩手県,2024,1,1,7.7
岩手県,2024,1,2,0.4
岩手県,2024,1,3,0.4
岩手県,2024,1,4,3.6
岩手県,2024,1,5,1.5
岩手県,2024,1,6,2.0
岩手県,2024,1,7,4.8
岩手県,2024,1,8,6.3
岩手県,2024,1,9,0.5
岩手県,2024,1,10,5.4
岩手県,2024,2,1,7.5
岩手県,2024,2,2,4.3
岩手県,2024,2,3,5.1
岩手県,2024,2,4,6.1
岩手県,2024,2,5,0.4
岩手県,2024,2,6,8.0
岩手県,2024,2,7,5.5
岩手県,2024,2,8,6.4
岩手県,2024,2,9,8.2
岩手県,2024,2,10,3.9
岩手県,2024,3,1,0.1
岩手県,2024,3,2,3.3
岩手県,2024,3,3,1.1
岩手県,2024,3,4,6.8
岩手県,2024,3,5,1.9
岩手県,2024,3,6,0.9
岩手県,2024,3,7,9.8
岩手県,2024,3,8,5.8
岩手県,2024,3,9,0.4
岩手県,2024,3,10,7.4
岩手県,2024,4,1,9.8
岩手県,2024,4,2,5.2
岩手県,2024,4,3,3.0
岩手県,2024,4,4,9.2
岩手県,2024,4,5,11.0
岩手県,2024,4,6,10.1
岩手県,2024,4,7,7.9
岩手県,2024,4,8,4.3
岩手県,2024,4,9,0.1
岩手県,2024,4,10,12.1
岩手県,2024,5,1,7.6
岩手県,2024,5,2,11.8
岩手県,2024,5,3,13.0
岩手県,2024,5,4,11.8
岩手県,2024,5,5,12.3
岩手県,2024,5,6,0.0
岩手県,2024,5,7,0.0
岩手県,2024,5,8,2.7
岩手県,2024,5,9,4.7
岩手県,2024,5,10,7.2
岩手県,2024,6,1,2.4
岩手県,2024,6,2,0.0
岩手県,2024,6,3,0.1
岩手県,2024,6,4,4.5
岩手県,2024,6,5,8.8
岩手県,2024,6,6,12.6
岩手県,2024,6,7,5.6
岩手県,2024,6,8,10.7
岩手県,2024,6,9,2.2
岩手県,2024,6,10,0.1
岩手県,2024,7,1,6.5
岩手県,2024,7,2,13.5
岩手県,2024,7,3,6.3
岩手県,2024,7,4,5.2
岩手県,2024,7,5,2.0
岩手県,2024,7,6,7.1
岩手県,2024,7,7,0.0
岩手県,2024,7,8,2.0
岩手県,2024,7,9,0.4
岩手県,2024,7,10,0.9
岩手県,2024,8,1,5.2
岩手県,2024,8,2,6.1
岩手県,2024,8,3,10.3
岩手県,2024,8,4,9.1
岩手県,2024,8,5,7.3
岩手県,2024,8,6,6.6
岩手県,2024,8,7,6.3
岩手県,2024,8,8,7.9
岩手県,2024,8,9,10.6
岩手県,2024,8,10,7.1
岩手県,2024,9,1,3.4
岩手県,2024,9,2,1.0
岩手県,2024,9,4,12.0
岩手県,2024,9,5,6.8
岩手県,2024,9,6,1.5
岩手県,2024,9,7,6.6
岩手県,2024,9,8,10.3
岩手県,2024,9,9,8.4
岩手県,2024,9,10,4.5
岩手県,2024,10,1,8.5
岩手県,2024,10,2,0.5
岩手県,2024,10,3,0.1
岩手県,2024,10,4,0.0
岩手県,2024,10,5,4.9
岩手県,2024,10,6,0.0
岩手県,2024,10,7,0.0
岩手県,2024,10,8,0.0
岩手県,2024,10,9,0.1
岩手県,2024,10,10,2.1
岩手県,2024,11,1,5.7
岩手県,2024,11,2,0.0
岩手県,2024,11,3,9.7
岩手県,2024,11,4,6.7
岩手県,2024,11,5,6.6
岩手県,2024,11,6,3.2
岩手県,2024,11,7,3.6
岩手県,2024,11,8,1.3
岩手県,2024,11,9,5.1
岩手県,2024,11,10,9.0
岩手県,2024,12,1,7.3
岩手県,2024,12,2,8.2
岩手県,2024,12,3,0.0
岩手県,2024,12,4,1.0
岩手県,2024,12,5,1.9
岩手県,2024,12,6,1.0
岩手県,2024,12,7,6.2
岩手県,2024,12,8,1.7
岩手県,2024,12,9,2.9
岩手県,2024,12,10,5.9
宮城県,2024,1,1,4.7
宮城県,2024,1,2,7.3
宮城県,2024,1,3,0.4
宮城県,2024,1,4,7.1
宮城県,2024,1,5,8.7
宮城県,2024,1,6,0.0
宮城県,2024,1,7,6.3
宮城県,2024,1,8,4.4
宮城県,2024,1,9,6.7
宮城県,2024,1,10,8.0
宮城県,2024,2,1,6.0
宮城県,2024,2,2,6.2
宮城県,2024,2,3,2.1
宮城県,2024,2,4,7.6
宮城県,2024,2,5,0.0
宮城県,2024,2,6,0.0
宮城県,2024,2,7,7.5
宮城県,2024,2,8,2.1
宮城県,2024,2,9,6.7
宮城県,2024,2,10,8.5
宮城県,2024,3,1,3.6
宮城県,2024,3,2,8.0
宮城県,2024,3,3,5.5
宮城県,2024,3,4,7.5
宮城県,2024,3,5,0.3
宮城県,2024,3,6,0.0
宮城県,2024,3,7,7.7
宮城県,2024,3,8,1.3
宮城県,2024,3,9,5.7
宮城県,2024,3,10,5.8
宮城県,2024,4,1,7.9
宮城県,2024,4,2,11.5
宮城県,2024,4,3,1.4
宮城県,2024,4,4,7.0
宮城県,2024,4,5,9.6
宮城県,2024,4,6,1.3
宮城県,2024,4,7,6.6
宮城県,2024,4,8,5.3
宮城県,2024,4,9,0.0
宮城県,2024,4,10,12.5
宮城県,2024,5,1,0.0
宮城県,2024,5,2,12.0
宮城県,2024,5,3,13.1
宮城県,2024,5,4,12.9
宮城県,2024,5,5,12.1
宮城県,2024,5,6,2.3
宮城県,2024,5,7,0.0
宮城県,2024,5,8,6.7
宮城県,2024,5,9,4.4
宮城県,2024,5,10,11.7
宮城県,2024,6,1,3.9
宮城県,2024,6,2,0.2
宮城県,2024,6,3,1.8
宮城県,2024,6,4,3.3
宮城県,2024,6,5,8.4
宮城県,2024,6,6,11.1
宮城県,2024,6,7,3.6
宮城県,2024,6,8,13.0
宮城県,2024,6,9,2.7
宮城県,2024,6,10,4.8
宮城県,2024,7,1,1.9
宮城県,2024,7,2,2.0
宮城県,2024,7,3,5.4
宮城県,2024,7,4,5.6
宮城県,2024,7,5,5.3
宮城県,2024,7,6,1.4
宮城県,2024,7,7,5.3
宮城県,2024,7,8,0.0
宮城県,2024,7,9,0.7
宮城県,2024,7,10,0.3
宮城県,2024,8,1,7.8
宮城県,2024,8,2,10.1
宮城県,2024,8,3,10.6
宮城県,2024,8,4,10.0
宮城県,2024,8,5,3.5
宮城県,2024,8,6,5.6
宮城県,2024,8,7,1.8
宮城県,2024,8,8,11.5
宮城県,2024,8,9,10.5
宮城県,2024,8,10,1.1
宮城県,2024,9,1,6.2
宮城県,2024,9,2,6.0
宮城県,2024,9,3,0.7
宮城県,2024,9,4,8.3
宮城県,2024,9,5,9.1
宮城県,2024,9,6,3.1
宮城県,2024,9,7,2.8
宮城県,2024,9,8,0.0
宮城県,2024,9,9,1.6
宮城県,2024,9,10,3.0
宮城県,2024,10,1,5.9
宮城県,2024,10,2,10.5
宮城県,2024,10,3,0.0
宮城県,2024,10,4,0.0
宮城県,2024,10,5,4.5
宮城県,2024,10,6,0.0
宮城県,2024,10,7,0.4
宮城県,2024,10,8,0.0
宮城県,2024,10,9,0.0
宮城県,2024,10,10,4.2
宮城県,2024,11,1,7.1
宮城県,2024,11,2,0.0
宮城県,2024,11,3,9.9
宮城県,2024,11,4,10.0
宮城県,2024,11,5,3.1
宮城県,2024,11,6,2.3
宮城県,2024,11,7,4.3
宮城県,2024,11,8,1.7
宮城県,2024,11,9,6.0
宮城県,2024,11,10,8.2
宮城県,2024,12,1,4.3
宮城県,2024,12,2,9.2
宮城県,2024,12,3,5.0
宮城県,2024,12,4,0.8
宮城県,2024,12,5,3.1
宮城県,2024,12,6,3.9
宮城県,2024,12,7,5.2
宮城県,2024,12,8,4.0
宮城県,2024,12,9,8.2
宮城県,2024,12,10,8.7
秋田県,2024,1,1,1.4
秋田県,2024,1,2,0.0
秋田県,2024,1,3,3.7
秋田県,2024,1,4,8.1
秋田県,2024,1,5,0.5
秋田県,2024,1,6,0.0
秋田県,2024,1,7,2.8
秋田県,2024,1,8,1.9
秋田県,2024,1,9,0.0
秋田県,2024,1,10,0.9
秋田県,2024,2,1,0.7
秋田県,2024,2,2,0.4
秋田県,2024,2,3,0.0
秋田県,2024,2,4,3.0
秋田県,2024,2,5,0.0
秋田県,2024,2,6,9.2
秋田県,2024,2,7,2.3
秋田県,2024,2,8,1.8
秋田県,2024,2,9,6.2
秋田県,2024,2,10,1.5
秋田県,2024,3,1,0.5
秋田県,2024,3,2,2.5
秋田県,2024,3,3,0.0
秋田県,2024,3,4,1.5
秋田県,2024,3,5,1.0
秋田県,2024,3,6,5.8
秋田県,2024,3,7,3.0
秋田県,2024,3,8,8.7
秋田県,2024,3,9,3.1
秋田県,2024,3,10,3.5
秋田県,2024,4,1,9.3
秋田県,2024,4,2,5.7
秋田県,2024,4,3,2.9
秋田県,2024,4,4,9.5
秋田県,2024,4,5,11.2
秋田県,2024,4,6,11.8
秋田県,2024,4,7,10.3
秋田県,2024,4,8,9.9
秋田県,2024,4,9,0.0
秋田県,2024,4,10,12.3
秋田県,2024,5,1,9.9
秋田県,2024,5,2,13.5
秋田県,2024,5,3,9.6
秋田県,2024,5,4,12.3
秋田県,2024,5,5,11.1
秋田県,2024,5,6,0.1
秋田県,2024,5,7,0.0
秋田県,2024,5,8,0.0
秋田県,2024,5,9,5.6
秋田県,2024,5,10,9.1
秋田県,2024,6,1,8.8
秋田県,2024,6,2,2.9
秋田県,2024,6,3,2.6
秋田県,2024,6,4,5.6
秋田県,2024,6,5,2.1
秋田県,2024,6,6,9.9
秋田県,2024,6,7,12.4
秋田県,2024,6,8,12.8
秋田県,2024,6,9,1.5
秋田県,2024,6,10,4.6
秋田県,2024,7,1,1.3
秋田県,2024,7,2,13.3
秋田県,2024,7,3,5.1
秋田県,2024,7,4,1.5
秋田県,2024,7,5,0.4
秋田県,2024,7,6,8.4
秋田県,2024,7,7,0.0
秋田県,2024,7,8,0.2
秋田県,2024,7,9,0.0
秋田県,2024,7,10,0.0
秋田県,2024,8,1,6.6
秋田県,2024,8,2,12.4
秋田県,2024,8,3,12.9
秋田県,2024,8,4,7.5
秋田県,2024,8,5,10.1
秋田県,2024,8,6,12.5
秋田県,2024,8,7,4.9
秋田県,2024,8,8,11.2
秋田県,2024,8,9,12.4
秋田県,2024,8,10,13.0
秋田県,2024,9,1,10.2
秋田県,2024,9,2,0.0
秋田県,2024,9,3,9.6
秋田県,2024,9,4,12.5
秋田県,2024,9,5,11.0
秋田県,2024,9,6,3.6
秋田県,2024,9,7,7.1
秋田県,2024,9,8,11.3
秋田県,2024,9,9,10.8
秋田県,2024,9,10,10.6
秋田県,2024,10,1,11.1
秋田県,2024,10,2,0.9
秋田県,2024,10,3,0.0
秋田県,2024,10,4,0.0
秋田県,2024,10,5,8.4
秋田県,2024,10,6,5.1
秋田県,2024,10,7,0.0
秋田県,2024,10,8,0.1
秋田県,2024,10,9,2.8
秋田県,2024,10,10,6.6
秋田県,2024,11,1,5.6
秋田県,2024,11,2,0.0
秋田県,2024,11,3,4.8
秋田県,2024,11,4,5.2
秋田県,2024,11,5,6.2
秋田県,2024,11,6,2.3
秋田県,2024,11,7,1.3
秋田県,2024,11,8,2.2
秋田県,2024,11,9,1.0
秋田県,2024,11,10,8.8
秋田県,2024,12,1,3.5
秋田県,2024,12,2,7.3
秋田県,2024,12,3,0.0
秋田県,2024,12,4,1.8
秋田県,2024,12,5,1.4
秋田県,2024,12,6,1.3
秋田県,2024,12,7,3.0
秋田県,2024,12,8,0.6
秋田県,2024,12,9,0.0
秋田県,2024,12,10,0.4
山形県,2024,1,1,1.7
山形県,2024,1,2,6.3
山形県,2024,1,3,0.1
山形県,2024,1,4,4.8
山形県,2024,1,5,7.0
山形県,2024,1,6,0.0
山形県,2024,1,7,4.0
山形県,2024,1,8,1.4
山形県,2024,1,9,4.5
山形県,2024,1,10,0.4
山形県,2024,2,1,0.2
山形県,2024,2,2,2.4
山形県,2024,2,3,0.6
山形県,2024,2,4,4.6
山形県,2024,2,5,0.0
山形県,2024,2,6,0.2
山形県,2024,2,7,2.8
山形県,2024,2,8,0.7
山形県,2024,2,9,0.3
山形県,2024,2,10,5.4
山形県,2024,3,1,1.3
山形県,2024,3,2,2.8
山形県,2024,3,3,0.1
山形県,2024,3,4,2.0
山形県,2024,3,5,0.3
山形県,2024,3,6,0.0
山形県,2024,3,7,6.1
山形県,2024,3,8,1.1
山形県,2024,3,9,1.6
山形県,2024,3,10,3.4
山形県,2024,4,1,6.9
山形県,2024,4,2,10.9
山形県,2024,4,3,1.0
山形県,2024,4,4,4.5
山形県,2024,4,5,10.4
山形県,2024,4,6,8.8
山形県,2024,4,7,11.7
山形県,2024,4,8,6.7
山形県,2024,4,9,0.0
山形県,2024,4,10,12.1
山形県,2024,5,1,0.2
山形県,2024,5,2,12.3
山形県,2024,5,3,13.0
山形県,2024,5,4,12.8
山形県,2024,5,5,11.8
山形県,2024,5,6,0.3
山形県,2024,5,7,0.1
山形県,2024,5,8,0.1
山形県,2024,5,9,3.9
山形県,2024,5,10,12.2
山形県,2024,6,1,7.2
山形県,2024,6,2,1.3
山形県,2024,6,3,4.6
山形県,2024,6,4,1.9
山形県,2024,6,5,6.9
山形県,2024,6,6,10.3
山形県,2024,6,7,6.1
山形県,2024,6,8,12.6
山形県,2024,6,9,2.6
山形県,2024,6,10,1.3
山形県,2024,7,1,1.1
山形県,2024,7,2,0.1
山形県,2024,7,3,3.0
山形県,2024,7,4,4.8
山形県,2024,7,5,5.2
山形県,2024,7,6,3.0
山形県,2024,7,7,2.7
山形県,2024,7,8,0.1
山形県,2024,7,9,0.0
山形県,2024,7,10,0.2
山形県,2024,8,1,9.0
山形県,2024,8,2,13.1
山形県,2024,8,3,8.0
山形県,2024,8,4,8.7
山形県,2024,8,5,3.9
山形県,2024,8,6,6.9
山形県,2024,8,7,0.8
山形県,2024,8,8,7.0
山形県,2024,8,9,10.1
山形県,2024,8,10,6.1
山形県,2024,9,1,6.3
山形県,2024,9,2,3.8
山形県,2024,9,3,0.6
山形県,2024,9,4,11.5
山形県,2024,9,5,11.4
山形県,2024,9,6,3.3
山形県,2024,9,7,0.4
山形県,2024,9,8,0.2
山形県,2024,9,9,2.0
山形県,2024,9,10,9.9
山形県,2024,10,1,4.4
山形県,2024,10,2,9.6
山形県,2024,10,3,0.7
山形県,2024,10,4,0.0
山形県,2024,10,5,3.5
山形県,2024,10,6,2.5
山形県,2024,10,7,0.4
山形県,2024,10,8,0.0
山形県,2024,10,9,0.5
山形県,2024,10,10,1.7
山形県,2024,11,1,4.4
山形県,2024,11,2,0.0
山形県,2024,11,3,6.1
山形県,2024,11,4,9.1
山形県,2024,11,5,2.9
山形県,2024,11,6,2.8
山形県,2024,11,7,2.1
山形県,2024,11,8,2.5
山形県,2024,11,9,5.7
山形県,2024,11,10,6.0
山形県,2024,12,1,0.9
山形県,2024,12,2,6.3
山形県,2024,12,3,3.1
山形県,2024,12,4,0.5
山形県,2024,12,5,0.2
山形県,2024,12,6,0.0
山形県,2024,12,7,1.8
山形県,2024,12,8,0.1
山形県,2024,12,9,0.9
山形県,2024,12,10,7.9
福島県,2024,1,1,5.7
福島県,2024,1,2,5.5
福島県,2024,1,3,0.1
福島県,2024,1,4,6.6
福島県,2024,1,5,8.3
福島県,2024,1,6,1.0
福島県,2024,1,7,3.9
福島県,2024,1,8,6.6
福島県,2024,1,9,6.7
福島県,2024,1,10,3.5
福島県,2024,2,1,5.4
福島県,2024,2,2,4.7
福島県,2024,2,3,4.1
福島県,2024,2,4,7.7
福島県,2024,2,5,0.0
福島県,2024,2,6,0.0
福島県,2024,2,7,7.3
福島県,2024,2,8,2.6
福島県,2024,2,9,5.9
福島県,2024,2,10,7.2
福島県,2024,3,1,5.4
福島県,2024,3,2,6.3
福島県,2024,3,3,6.9
福島県,2024,3,4,1.2
福島県,2024,3,5,0.5
福島県,2024,3,6,0.0
福島県,2024,3,7,7.2
福島県,2024,3,8,0.9
福島県,2024,3,9,10.1
福島県,2024,3,10,7.3
福島県,2024,4,1,7.6
福島県,2024,4,2,10.0
福島県,2024,4,3,0.4
福島県,2024,4,4,7.8
福島県,2024,4,5,8.8
福島県,2024,4,6,2.6
福島県,2024,4,7,8.4
福島県,2024,4,8,4.1
福島県,2024,4,9,0.1
福島県,2024,4,10,12.4
福島県,2024,5,1,0.0
福島県,2024,5,2,12.0
福島県,2024,5,3,13.0
福島県,2024,5,4,12.8
福島県,2024,5,5,12.5
福島県,2024,5,6,0.1
福島県,2024,5,7,0.2
福島県,2024,5,8,2.9
福島県,2024,5,9,6.7
福島県,2024,5,10,12.3
福島県,2024,6,1,8.6
福島県,2024,6,2,0.5
福島県,2024,6,3,3.6
福島県,2024,6,4,2.0
福島県,2024,6,5,11.4
福島県,2024,6,6,11.1
福島県,2024,6,7,2.5
福島県,2024,6,8,10.4
福島県,2024,6,9,2.6
福島県,2024,6,10,2.2
福島県,2024,7,1,0.7
福島県,2024,7,2,4.6
福島県,2024,7,3,2.2
福島県,2024,7,4,9.7
福島県,2024,7,5,6.7
福島県,2024,7,6,0.9
福島県,2024,7,7,6.9
福島県,2024,7,8,0.0
福島県,2024,7,9,0.1
福島県,2024,7,10,0.0
福島県,2024,8,1,9.1
福島県,2024,8,2,12.2
福島県,2024,8,3,4.7
福島県,2024,8,4,7.6
福島県,2024,8,5,2.5
福島県,2024,8,6,3.3
福島県,2024,8,7,1.7
福島県,2024,8,8,7.0
福島県,2024,8,9,6.6
福島県,2024,8,10,1.8
福島県,2024,9,1,5.5
福島県,2024,9,2,6.2
福島県,2024,9,3,1.5
福島県,2024,9,4,7.3
福島県,2024,9,5,9.6
福島県,2024,9,6,4.2
福島県,2024,9,7,0.6
福島県,2024,9,8,1.9
福島県,2024,9,9,1.6
福島県,2024,9,10,4.9
福島県,2024,10,1,7.6
福島県,2024,10,2,10.2
福島県,2024,10,3,0.0
福島県,2024,10,4,0.4
福島県,2024,10,5,0.0
福島県,2024,10,6,0.0
